run_name,noise_kind,snr_db,accuracy,acc_Fin_FinbackWhale,acc_StripedDolphin,acc_Narwhal,acc_WestIndianManatee,acc_White_sidedDolphin,acc_Grampus_Risso'sDolphin,acc_LongBeaked(Pacific)CommonDolphin,acc_MelonHeadedWhale,acc_WeddellSeal,acc_HumpbackWhale,acc_RossSeal,acc_BottlenoseDolphin,acc_White_beakedDolphin,acc_Rough_ToothedDolphin,acc_HarborPorpoise,acc_NorthernRightWhale,acc_AtlanticSpottedDolphin,acc_Walrus,acc_KillerWhale,acc_Short_Finned(Pacific)PilotWhale,acc_RibbonSeal,acc_FalseKillerWhale,acc_RingedSeal,acc_SouthernRightWhale,acc_Boutu_AmazonRiverDolphin,acc_HarpSeal,acc_BeardedSeal,acc_MinkeWhale,acc_SpottedSeal,acc_CommonDolphin,acc_GrayWhale,acc_Long_FinnedPilotWhale,acc_ClymeneDolphin,acc_Fraser'sDolphin,acc_LeopardSeal,acc_BowheadWhale,acc_SpinnerDolphin,acc_Beluga_WhiteWhale,acc_SpermWhale,acc_PantropicalSpottedDolphin
baseline_cnn_gpu,white,inf,0.4466145833333333,0.9921259842519685,0.10344827586206896,0.0,0.0,0.0,0.17293233082706766,0.0,0.0,0.6470588235294118,0.7285714285714285,0.3548387096774194,0.0,0.0,0.8235294117647058,0.0,0.782608695652174,0.0,0.425531914893617,0.6873508353221957,0.02040816326530612,0.0,0.7558139534883721,0.0,0.5,0.0,1.0,0.5555555555555556,0.14285714285714285,0.75,0.875,0.125,0.8565891472868217,0.0,0.06666666666666667,0.0,0.5735294117647058,0.3020833333333333,0.15,0.546875,0.01694915254237288
baseline_cnn_gpu,white,20.0,0.435546875,0.984251968503937,0.20689655172413793,0.0,0.0,0.0,0.3157894736842105,0.0,0.3333333333333333,0.5882352941176471,0.7571428571428571,0.45161290322580644,0.008,0.0,0.8235294117647058,0.0,0.6376811594202898,0.018518518518518517,0.5531914893617021,0.5871121718377088,0.05102040816326531,0.0,0.877906976744186,0.0,1.0,0.0,1.0,0.4444444444444444,0.0,0.75,0.8641304347826086,0.0625,0.7751937984496124,0.0718954248366013,0.06666666666666667,0.0,0.29411764705882354,0.4270833333333333,0.1,0.453125,0.01694915254237288
baseline_cnn_gpu,white,10.0,0.3971354166666667,0.937007874015748,0.3103448275862069,0.0,0.0,0.0,0.24812030075187969,0.0,0.3333333333333333,0.5882352941176471,0.6142857142857143,0.22580645161290322,0.008,0.0,0.7941176470588235,0.0,0.5507246376811594,0.018518518518518517,0.3404255319148936,0.5751789976133651,0.030612244897959183,0.125,0.8313953488372093,0.0,0.4,0.0,1.0,0.5,0.0,0.5,0.7771739130434783,0.0,0.7209302325581395,0.1111111111111111,0.06666666666666667,0.0,0.19117647058823528,0.4479166666666667,0.15,0.34375,0.03389830508474576
baseline_cnn_gpu,white,5.0,0.3753255208333333,0.8740157480314961,0.1206896551724138,0.0,0.0,0.0,0.18045112781954886,0.0,0.3333333333333333,0.5882352941176471,0.5142857142857142,0.12903225806451613,0.016,0.0,0.7647058823529411,0.0,0.391304347826087,0.018518518518518517,0.23404255319148937,0.6062052505966588,0.01020408163265306,0.125,0.8546511627906976,0.0,0.8,0.0,1.0,0.5,0.0,0.5,0.782608695652174,0.0,0.7054263565891473,0.12418300653594772,0.06666666666666667,0.0,0.16176470588235295,0.4583333333333333,0.1,0.21875,0.05084745762711865
baseline_cnn_gpu,white,0.0,0.3352864583333333,0.5905511811023622,0.017241379310344827,0.0,0.0,0.0,0.03759398496240601,0.0,0.6666666666666666,0.5882352941176471,0.3142857142857143,0.03225806451612903,0.016,0.0,0.6470588235294118,0.0,0.21739130434782608,0.0,0.10638297872340426,0.6181384248210023,0.0,0.0,0.8546511627906976,0.0,1.0,0.0,1.0,0.3333333333333333,0.0,0.25,0.8206521739130435,0.0,0.7093023255813954,0.0718954248366013,0.06666666666666667,0.0,0.22058823529411764,0.375,0.1,0.14453125,0.05084745762711865
baseline_cnn_gpu,white,-5.0,0.23404947916666666,0.1968503937007874,0.0,0.0,0.0,0.0,0.007518796992481203,0.0,1.0,0.5882352941176471,0.11428571428571428,0.03225806451612903,0.008,0.0,0.29411764705882354,0.0,0.028985507246376812,0.0,0.0,0.5322195704057279,0.0,0.0,0.6511627906976745,0.0,1.0,0.0,0.0,0.2222222222222222,0.0,0.0,0.592391304347826,0.0,0.5891472868217055,0.0392156862745098,0.3333333333333333,0.0,0.17647058823529413,0.03125,0.0,0.0859375,0.0
baseline_cnn_gpu,white,-10.0,0.0283203125,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,1.0,0.17647058823529413,0.0,0.0,0.0,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.011933174224343675,0.0,0.0,0.01744186046511628,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.09302325581395349,0.0,0.13333333333333333,0.0,0.08823529411764706,0.0,0.0,0.0390625,0.0
baseline_cnn_gpu,pink,20.0,0.4514973958333333,0.984251968503937,0.1724137931034483,0.0,0.0,0.0,0.20300751879699247,0.0,0.3333333333333333,0.7647058823529411,0.8142857142857143,0.41935483870967744,0.008,0.0,0.7647058823529411,0.0,0.5362318840579711,0.018518518518518517,0.5106382978723404,0.630071599045346,0.01020408163265306,0.0,0.8895348837209303,0.0,1.0,0.0,1.0,0.5,0.0,0.75,0.8913043478260869,0.0,0.8255813953488372,0.05228758169934641,0.06666666666666667,0.0,0.39705882352941174,0.3333333333333333,0.15,0.58984375,0.05084745762711865
baseline_cnn_gpu,pink,10.0,0.4449869791666667,0.905511811023622,0.2413793103448276,0.0,0.0,0.0,0.24812030075187969,0.0,0.3333333333333333,0.8235294117647058,0.7142857142857143,0.5483870967741935,0.008,0.0,0.7647058823529411,0.0,0.4782608695652174,0.018518518518518517,0.3404255319148936,0.6801909307875895,0.02040816326530612,0.125,0.8837209302325582,0.0,1.0,0.0,1.0,0.5,0.0,0.625,0.8369565217391305,0.0,0.7868217054263565,0.0784313725490196,0.06666666666666667,0.0,0.39705882352941174,0.4375,0.1,0.51171875,0.05084745762711865
baseline_cnn_gpu,pink,5.0,0.4137369791666667,0.8346456692913385,0.20689655172413793,0.0,0.0,0.0,0.12030075187969924,0.0,0.3333333333333333,0.7058823529411765,0.42857142857142855,0.4838709677419355,0.016,0.0,0.6470588235294118,0.0,0.4492753623188406,0.018518518518518517,0.23404255319148937,0.7183770883054893,0.02040816326530612,0.125,0.813953488372093,0.0,1.0,0.0,1.0,0.3888888888888889,0.0,0.625,0.8206521739130435,0.0,0.7054263565891473,0.09803921568627451,0.06666666666666667,0.0,0.25,0.4479166666666667,0.15,0.484375,0.05084745762711865
baseline_cnn_gpu,pink,0.0,0.3570963541666667,0.7874015748031497,0.06896551724137931,0.0,0.0,0.0,0.022556390977443608,0.0,0.3333333333333333,0.5882352941176471,0.15714285714285714,0.6451612903225806,0.024,0.0,0.6470588235294118,0.0,0.36231884057971014,0.018518518518518517,0.14893617021276595,0.6467780429594272,0.0,0.25,0.5988372093023255,0.0,0.9,0.0,1.0,0.1111111111111111,0.0,0.125,0.7771739130434783,0.0,0.6085271317829457,0.0784313725490196,0.06666666666666667,0.0,0.11764705882352941,0.4583333333333333,0.1,0.4921875,0.04519774011299435
