run_name,noise_kind,snr_db,accuracy,acc_Fin_FinbackWhale,acc_StripedDolphin,acc_Narwhal,acc_WestIndianManatee,acc_White_sidedDolphin,acc_Grampus_Risso'sDolphin,acc_LongBeaked(Pacific)CommonDolphin,acc_MelonHeadedWhale,acc_WeddellSeal,acc_HumpbackWhale,acc_RossSeal,acc_BottlenoseDolphin,acc_White_beakedDolphin,acc_Rough_ToothedDolphin,acc_HarborPorpoise,acc_NorthernRightWhale,acc_AtlanticSpottedDolphin,acc_Walrus,acc_KillerWhale,acc_Short_Finned(Pacific)PilotWhale,acc_RibbonSeal,acc_FalseKillerWhale,acc_RingedSeal,acc_SouthernRightWhale,acc_Boutu_AmazonRiverDolphin,acc_HarpSeal,acc_BeardedSeal,acc_MinkeWhale,acc_SpottedSeal,acc_CommonDolphin,acc_GrayWhale,acc_Long_FinnedPilotWhale,acc_ClymeneDolphin,acc_Fraser'sDolphin,acc_LeopardSeal,acc_BowheadWhale,acc_SpinnerDolphin,acc_Beluga_WhiteWhale,acc_SpermWhale,acc_PantropicalSpottedDolphin
efficientnet_b0_gpu,white,inf,0.5035807291666666,0.9921259842519685,0.2413793103448276,0.0,0.16666666666666666,0.012422360248447204,0.518796992481203,0.0,0.6666666666666666,0.9411764705882353,0.7428571428571429,1.0,0.016,0.40384615384615385,0.6176470588235294,0.0,0.8405797101449275,0.09259259259259259,0.6382978723404256,0.6133651551312649,0.02040816326530612,0.0,0.9302325581395349,0.0,0.4,0.0,1.0,0.6666666666666666,0.14285714285714285,0.75,0.9619565217391305,0.0,0.7751937984496124,0.0,0.06666666666666667,0.0,0.7647058823529411,0.6458333333333334,0.4,0.56640625,0.05084745762711865
efficientnet_b0_gpu,white,20.0,0.4814453125,0.984251968503937,0.25862068965517243,0.0,0.16666666666666666,0.0,0.42105263157894735,0.0,0.6666666666666666,0.9411764705882353,0.7,0.967741935483871,0.016,0.36538461538461536,0.5,0.0,0.8405797101449275,0.037037037037037035,0.48936170212765956,0.5155131264916468,0.030612244897959183,0.0,0.9127906976744186,0.0,1.0,0.0,1.0,0.7222222222222222,0.0,0.75,0.8913043478260869,0.0,0.7596899224806202,0.0,0.06666666666666667,0.0,0.5294117647058824,0.6458333333333334,0.2,0.7265625,0.05084745762711865
efficientnet_b0_gpu,white,10.0,0.4586588541666667,0.968503937007874,0.5172413793103449,0.0,0.16666666666666666,0.006211180124223602,0.42105263157894735,0.0,0.3333333333333333,1.0,0.35714285714285715,0.967741935483871,0.032,0.3269230769230769,0.5294117647058824,0.0,0.7391304347826086,0.018518518518518517,0.2978723404255319,0.4892601431980907,0.030612244897959183,0.0,0.9476744186046512,0.0,1.0,0.0,1.0,0.7222222222222222,0.0,0.75,0.8641304347826086,0.0,0.7558139534883721,0.0,0.06666666666666667,0.0,0.4264705882352941,0.6145833333333334,0.15,0.640625,0.05084745762711865
efficientnet_b0_gpu,white,5.0,0.4182942708333333,0.8267716535433071,0.5862068965517241,0.0,0.16666666666666666,0.012422360248447204,0.41353383458646614,0.0,0.3333333333333333,0.9411764705882353,0.22857142857142856,0.9032258064516129,0.032,0.19230769230769232,0.6176470588235294,0.0,0.6666666666666666,0.018518518518518517,0.23404255319148937,0.4988066825775656,0.061224489795918366,0.0,0.9244186046511628,0.0,0.8,0.0,1.0,0.5555555555555556,0.0,0.75,0.6739130434782609,0.0,0.7325581395348837,0.0,0.0,0.0,0.4411764705882353,0.5833333333333334,0.15,0.48828125,0.04519774011299435
efficientnet_b0_gpu,white,0.0,0.3548177083333333,0.6456692913385826,0.3103448275862069,0.0,0.0,0.024844720496894408,0.43609022556390975,0.0,0.3333333333333333,0.8235294117647058,0.2,0.8387096774193549,0.048,0.038461538461538464,0.5882352941176471,0.0,0.4492753623188406,0.018518518518518517,0.14893617021276595,0.45823389021479716,0.05102040816326531,0.0,0.8837209302325582,0.0,0.7,0.0,1.0,0.5,0.0,0.75,0.42391304347826086,0.0,0.7093023255813954,0.0,0.0,0.0,0.39705882352941174,0.4583333333333333,0.1,0.359375,0.04519774011299435
efficientnet_b0_gpu,white,-5.0,0.259765625,0.6456692913385826,0.10344827586206896,0.0,0.0,0.018633540372670808,0.48872180451127817,0.0,0.3333333333333333,0.7058823529411765,0.24285714285714285,0.6451612903225806,0.056,0.0,0.4117647058823529,0.0,0.17391304347826086,0.037037037037037035,0.0851063829787234,0.31742243436754175,0.02040816326530612,0.0,0.6395348837209303,0.0,0.3,0.0,0.0,0.3888888888888889,0.0,0.75,0.23369565217391305,0.0,0.5193798449612403,0.0,0.0,0.0,0.39705882352941174,0.125,0.15,0.25,0.05084745762711865
efficientnet_b0_gpu,white,-10.0,0.11263020833333333,0.5354330708661418,0.0,0.0,0.0,0.006211180124223602,0.39097744360902253,0.0,0.3333333333333333,0.47058823529411764,0.2,0.06451612903225806,0.048,0.0,0.0,0.0,0.014492753623188406,0.0,0.02127659574468085,0.05250596658711217,0.0,0.0,0.1686046511627907,0.15384615384615385,0.1,0.0,0.0,0.16666666666666666,0.0,0.625,0.07065217391304347,0.0,0.13953488372093023,0.0,0.0,0.0,0.27941176470588236,0.0,0.05,0.23046875,0.011299435028248588
efficientnet_b0_gpu,pink,20.0,0.4886067708333333,0.984251968503937,0.1896551724137931,0.0,0.16666666666666666,0.006211180124223602,0.46616541353383456,0.0,0.6666666666666666,1.0,0.7571428571428571,1.0,0.008,0.3076923076923077,0.5294117647058824,0.0,0.8115942028985508,0.0,0.6595744680851063,0.5274463007159904,0.030612244897959183,0.0,0.9593023255813954,0.0,1.0,0.0,1.0,0.7222222222222222,0.0,0.75,0.9130434782608695,0.0,0.7713178294573644,0.0,0.06666666666666667,0.0,0.5294117647058824,0.6145833333333334,0.35,0.69921875,0.04519774011299435
efficientnet_b0_gpu,pink,10.0,0.4674479166666667,0.8976377952755905,0.29310344827586204,0.0,0.16666666666666666,0.006211180124223602,0.5413533834586466,0.0,0.6666666666666666,0.8235294117647058,0.7285714285714285,1.0,0.016,0.3076923076923077,0.5294117647058824,0.0,0.6086956521739131,0.037037037037037035,0.574468085106383,0.4964200477326969,0.04081632653061224,0.0,0.936046511627907,0.0,1.0,0.0,1.0,0.7222222222222222,0.0,0.75,0.8913043478260869,0.0,0.7674418604651163,0.0,0.06666666666666667,0.0,0.45588235294117646,0.65625,0.2,0.59765625,0.05084745762711865
efficientnet_b0_gpu,pink,5.0,0.4514973958333333,0.8503937007874016,0.3448275862068966,0.0,0.0,0.0,0.5488721804511278,0.0,0.6666666666666666,0.7647058823529411,0.6142857142857143,0.967741935483871,0.016,0.3269230769230769,0.5294117647058824,0.0,0.5797101449275363,0.018518518518518517,0.40425531914893614,0.4439140811455847,0.061224489795918366,0.0,0.9011627906976745,0.0,0.9,0.0,1.0,0.7222222222222222,0.0,0.75,0.842391304347826,0.0,0.8023255813953488,0.0,0.0,0.0,0.39705882352941174,0.6458333333333334,0.15,0.6328125,0.05084745762711865
