epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,seconds
1,4.154575824737549,0.013553895056247711,0.0029281355319495696,3.632476806640625,0.14290805160999298,0.08091369644930228,0.0
2,2.5477945804595947,0.29765209555625916,0.3224142161558332,4.893747806549072,0.1821097731590271,0.08535282315389221,0.0
3,1.6563270092010498,0.3203842043876648,0.28320887946456175,5.4500412940979,0.25873130559921265,0.10429631007854955,0.0
4,1.1159474849700928,0.5027748346328735,0.41523214758873445,5.4503350257873535,0.28937989473342896,0.11583753740087262,0.0
5,0.8603423833847046,0.5560298562049866,0.5155766177880636,5.6629252433776855,0.3118318021297455,0.15481120100677123,0.0
6,0.7344471216201782,0.5913553833961487,0.5860475998049951,6.167789936065674,0.33143264055252075,0.17049005700188752,0.0
7,0.6052852272987366,0.642475962638855,0.618701799412662,7.054048538208008,0.33392730355262756,0.17403267603621783,0.0
8,0.5450589656829834,0.6506937146186829,0.6424633935869978,7.768721103668213,0.3556664288043976,0.1817854434292955,0.0
9,0.46783289313316345,0.6824973225593567,0.6729705723500188,8.354325294494629,0.3802565932273865,0.201075663248126,0.0
10,0.39619573950767517,0.715901792049408,0.7038228293103922,8.93138599395752,0.392017126083374,0.21410129374956596,0.0
11,0.3511877954006195,0.7453575134277344,0.7405087194537274,9.499342918395996,0.416963666677475,0.23572715818558718,0.0
12,0.3262989819049835,0.7675560116767883,0.7717058877115461,10.03521728515625,0.42694228887557983,0.2380949486468864,0.0
13,0.31500229239463806,0.7782284021377563,0.7981910726664577,10.509583473205566,0.43228796124458313,0.25462005414065386,0.0
14,0.2979886829853058,0.7929562330245972,0.8176292803090208,10.954558372497559,0.44333571195602417,0.26305444734745176,0.0
15,0.26818403601646423,0.8138740658760071,0.8287175013850304,11.436834335327148,0.45117607712745667,0.2623853724687539,0.0
16,0.23758669197559357,0.8344717025756836,0.841950416177152,11.961549758911133,0.45830366015434265,0.2670630806983682,0.0
17,0.21614263951778412,0.8461045622825623,0.8477635293153428,12.46933364868164,0.460441917181015,0.26796474150724514,0.0
18,0.2030579298734665,0.8494130373001099,0.8501519491220587,12.89799976348877,0.4607982933521271,0.2566457767193547,0.0
19,0.19356344640254974,0.85186767578125,0.8527544630618691,13.223090171813965,0.4607982933521271,0.25807532264762956,0.0
20,0.18504807353019714,0.8546424508094788,0.8567526187874899,13.45422077178955,0.45652174949645996,0.25275826073778396,0.0
21,0.17674200236797333,0.8563500642776489,0.8648767346787984,13.61738109588623,0.45580899715423584,0.2513955824565522,0.0
22,0.1678682565689087,0.8595517873764038,0.867174224517491,13.743884086608887,0.45473986864089966,0.2546664760431865,0.0
23,0.15803101658821106,0.862006425857544,0.8731068653731223,13.862505912780762,0.4526015818119049,0.25367289318581043,0.0
24,0.148002490401268,0.8675560355186462,0.8789928149533572,13.993525505065918,0.4501069188117981,0.25351244350341173,0.0
25,0.13883832097053528,0.8727855086326599,0.8839407463315718,14.14760684967041,0.45473986864089966,0.2626462314578961,0.0
26,0.13104407489299774,0.8802561163902283,0.8910535947118532,14.327369689941406,0.4590164124965668,0.26368658027468383,0.0
27,0.1246764287352562,0.8874066472053528,0.8984398559894392,14.527972221374512,0.46115466952323914,0.2654526625781662,0.0
28,0.11951224505901337,0.8947705626487732,0.9060247023489537,14.73745346069336,0.4632929563522339,0.26690761778809835,0.0
29,0.11502904444932938,0.9006403684616089,0.9129616572014888,14.939399719238281,0.46721312403678894,0.2683866400855442,0.0
30,0.11064532399177551,0.9057630896568298,0.9198153849145823,15.11728286743164,0.46863865852355957,0.2743209859112369,0.0
31,0.10614867508411407,0.9100320339202881,0.9310389626994616,15.258493423461914,0.47077691555023193,0.28083409663795017,0.0
32,0.10168667137622833,0.9150480031967163,0.9361686900664791,15.35757827758789,0.46899503469467163,0.27735936493296565,0.0
33,0.09739483892917633,0.9165421724319458,0.9404998017996624,15.417702674865723,0.4668567478656769,0.27912541991735007,0.0
34,0.09335345029830933,0.9175026416778564,0.942048943096833,15.448850631713867,0.4657876193523407,0.27898925008690223,0.0
35,0.08972839266061783,0.9177161455154419,0.941868954565894,15.463502883911133,0.4650748670101166,0.27877927854907153,0.0
36,0.08655396848917007,0.9183564782142639,0.9422415884004333,15.472566604614258,0.4650748670101166,0.27073008358467543,0.0
37,0.08361566066741943,0.9185699224472046,0.9422497829623141,15.483572006225586,0.46364933252334595,0.2692906901468104,0.0
38,0.08068548142910004,0.9194236993789673,0.9439747993493696,15.50100040435791,0.4632929563522339,0.26824107880988574,0.0
39,0.0777391865849495,0.9220917820930481,0.9465244599911019,15.527152061462402,0.46543124318122864,0.26942669269327796,0.0
40,0.0749451294541359,0.9242262840270996,0.9479330091055267,15.562450408935547,0.4668567478656769,0.26830441377093084,0.0
41,0.07249411195516586,0.9277481436729431,0.950813890666774,15.60522747039795,0.4700641632080078,0.2693877252140791,0.0
42,0.07042331248521805,0.9305229187011719,0.9538561552687937,15.651748657226562,0.4725588262081146,0.2704134873146394,0.0
43,0.06856241077184677,0.9328708648681641,0.9565756773534831,15.6972074508667,0.47148966789245605,0.26955374979363156,0.0
44,0.06668867915868759,0.9364994764328003,0.9587989125455146,15.737397193908691,0.471133291721344,0.2718454100220039,0.0
45,0.06475568562746048,0.9391675591468811,0.9603014396695525,15.770025253295898,0.4736279547214508,0.2733347083376083,0.0
46,0.06289380043745041,0.9398078918457031,0.9598082194415594,15.795003890991211,0.4736279547214508,0.27392512707455513,0.0
47,0.06122274324297905,0.9414087533950806,0.960408315572363,15.813849449157715,0.4743407070636749,0.27608534425909376,0.0
48,0.05974362790584564,0.9434365034103394,0.9621458612476919,15.828807830810547,0.4729152023792267,0.2753860070211458,0.0
49,0.0583689883351326,0.9453575015068054,0.9633318612984731,15.84217357635498,0.4736279547214508,0.2767128434113197,0.0
50,0.05700710415840149,0.9463180303573608,0.9639913072567621,15.855998039245605,0.47576624155044556,0.2788596276189708,0.0
51,0.05562855675816536,0.9485592246055603,0.965700335873409,15.872014045715332,0.4771917462348938,0.2801002991593406,0.0
