epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,seconds
1,4.175458176495278,0.05393835616438356,0.02653370725651422,3.872620023325011,0.14611546685673557,0.05991476340563592,2.201549757272005
2,3.6191284754504895,0.1174015410958904,0.05330403231886075,3.689219873119743,0.1322166785459729,0.06349216125618885,1.6310345381498337
3,3.2859310744559926,0.15935359589041095,0.0876070152909093,3.6801342593714415,0.06771204561653599,0.0416418790996874,1.6388682126998901
4,3.054750432706859,0.1795804794520548,0.10515087521436517,3.7050022936173193,0.15288667141838916,0.06775002203546682,1.612354837357998
5,2.9447871217988943,0.2009845890410959,0.12157119937099664,3.7858625199228886,0.05808980755523877,0.03581658146527662,1.6313997246325016
6,2.7606734788581115,0.2288099315068493,0.13467898538472298,3.792425658306902,0.14611546685673557,0.06403664321516453,1.6216830983757973
7,2.515809856049002,0.2540667808219178,0.15996094725862775,3.4799249707505435,0.15324305060584462,0.08045757885798459,1.6126590818166733
8,2.442148211884172,0.2792166095890411,0.1865064731954591,3.579064320940166,0.15217391304347827,0.08178136509947562,1.757150560617447
9,2.35984107402906,0.2861729452054795,0.1946130031528907,3.561865592121823,0.16714183891660728,0.0894374951707417,1.6120568364858627
10,2.1978947365120667,0.3144263698630137,0.21055017999219988,3.7635503090541023,0.17426942266571632,0.08727271044298941,1.6071453653275967
11,2.0934879714495516,0.3268407534246575,0.2311000889496753,3.96473119943718,0.2059871703492516,0.10654296143084599,1.6107592582702637
12,2.011059586315939,0.3541309931506849,0.2465549652110872,3.6505874085239403,0.17640769779044904,0.11564923709256322,1.6176268719136715
13,1.9559948575006771,0.3558433219178082,0.2605458182550615,4.124115963621133,0.17462580185317178,0.13217651327451443,1.6253204345703125
14,1.942251487954022,0.3812071917808219,0.2710598278332845,3.918342527116271,0.1977904490377762,0.09027467446686605,1.797952376306057
15,1.8122982709375146,0.4129922945205479,0.2801376985975074,3.8165965022483386,0.2540983606557377,0.13144468772861512,1.6186123862862587
16,1.8010384244461581,0.4202696917808219,0.2971603746609985,3.670124267393236,0.2655024946543122,0.12186569171292033,1.6151791848242283
17,1.7257888268118036,0.4285102739726027,0.30650768429909586,3.7723049155661488,0.24910905203136136,0.1281610993983693,1.6270687840878963
18,1.7747706117695325,0.4254066780821918,0.296783970681537,4.052274206410283,0.21739130434782608,0.12094952882443044,1.610776361078024
19,1.6545573897557715,0.4511986301369863,0.3219101276192629,3.813990570525144,0.2940128296507484,0.15196884339158784,1.7672102898359299
20,1.603868455102999,0.4726027397260274,0.3328036051511154,3.778958304303931,0.28688524590163933,0.15564699308971303,1.626227293163538
21,1.4754691025982165,0.4855522260273973,0.35301487292219774,4.204692964968474,0.2419814682822523,0.1374910003215829,1.626218568533659
22,1.459089123222926,0.5086686643835616,0.36680234456179805,4.060145147681151,0.3150392017106201,0.15745761439691686,1.6233754120767117
23,1.5064042063608563,0.502033390410959,0.3525570219712831,3.7070521669394614,0.3428367783321454,0.15957732337854688,1.6371236331760883
24,1.3418175896553144,0.525042808219178,0.39229392153850867,4.081092106471806,0.3050605844618674,0.19090052836537386,1.6221728064119816
